Year;Month;departement;prix_m2_vente;date
2023;8;23;1091.3507142857143;2023-08-01
2023;8;24;1913.2136218678816;2023-08-01
2023;8;25;2168.667652173913;2023-08-01
2023;8;26;2534.7017494089837;2023-08-01
2023;8;27;2164.5812745098037;2023-08-01
2023;8;28;2217.369783393502;2023-08-01
2023;8;29;2835.1478166550037;2023-08-01
2023;8;30;2946.233190066858;2023-08-01
2023;8;31;3181.7262932330823;2023-08-01
2023;8;32;1856.3746391752577;2023-08-01
2023;8;33;4097.827232044199;2023-08-01
2023;8;34;3801.0425689404938;2023-08-01
2023;8;35;3512.256937062937;2023-08-01
2023;8;36;1201.6736138613862;2023-08-01
2023;8;37;2569.8648623853214;2023-08-01
2023;8;38;3060.518136924804;2023-08-01
2023;8;39;1906.870827586207;2023-08-01
2023;8;40;3715.1163372859023;2023-08-01
2023;8;41;1804.7931560283687;2023-08-01
2023;8;42;1836.1541503267974;2023-08-01
2023;8;43;1626.4789393939393;2023-08-01
2023;8;44;3926.7866305133766;2023-08-01
2023;8;45;2271.1788853503185;2023-08-01
2023;8;46;1773.181620111732;2023-08-01
2023;8;47;1700.1085436893204;2023-08-01
2023;8;48;1653.8968421052632;2023-08-01
2023;8;49;2641.7772074882996;2023-08-01
2023;8;50;2423.550253164557;2023-08-01
2023;8;51;2594.5719083969466;2023-08-01
2023;8;52;1059.4574489795918;2023-08-01
2023;8;53;1877.8814448669202;2023-08-01
2023;8;54;2225.416997885835;2023-08-01
2023;8;55;1284.6580246913582;2023-08-01
2023;8;56;3585.8992653061223;2023-08-01
2023;8;57;2476.34942455243;2023-08-01
2023;8;58;1136.5400571428572;2023-08-01
2023;8;59;2466.3927699530514;2023-08-01
2023;8;60;2614.498033794163;2023-08-01
2023;8;61;1694.6530666666667;2023-08-01
2023;8;62;2469.948478527607;2023-08-01
2023;8;63;2170.7135593220337;2023-08-01
2023;8;64;4683.427670250896;2023-08-01
2023;8;65;1911.1766379310343;2023-08-01
2023;8;66;2966.576067761807;2023-08-01
2023;8;67;3380.7630851063827;2023-08-01
2023;8;68;2735.511087866109;2023-08-01
2023;8;69;4245.725401750199;2023-08-01
2023;8;70;1183.911573033708;2023-08-01
2023;8;71;1686.285335463259;2023-08-01
2023;8;72;1966.1832558139536;2023-08-01
2023;8;73;4109.590027548209;2023-08-01
2023;8;74;5376.278747126436;2023-08-01
2023;8;75;10842.502672583827;2023-08-01
2023;8;76;2486.4657382953183;2023-08-01
2023;8;77;3123.0771405750797;2023-08-01
2023;8;78;4720.771109090909;2023-08-01
2023;8;79;1574.1380751173708;2023-08-01
2023;8;80;2170.901258992806;2023-08-01
2023;8;81;2019.3594407158837;2023-08-01
2023;8;82;2130.5394019933556;2023-08-01
2023;8;83;4791.039934179596;2023-08-01
2023;8;84;3215.5451955307262;2023-08-01
2023;8;85;3137.3548481675393;2023-08-01
2023;8;86;1631.1139130434785;2023-08-01
2023;8;87;1629.3421548117155;2023-08-01
2023;8;88;1560.8960633484164;2023-08-01
2023;8;89;1709.9963895486935;2023-08-01
2023;8;90;1764.0028301886791;2023-08-01
2023;8;91;3403.8448206278026;2023-08-01
2023;8;92;7478.018555431131;2023-08-01
2023;8;93;4511.95031201248;2023-08-01
2023;8;94;5324.397243047158;2023-08-01
2023;8;95;3837.876566455697;2023-08-01
2023;8;97;3678.5429971988797;2023-08-01
2023;8;na;3341.6092791519436;2023-08-01
2023;9;01;3297.2256873930405;2023-09-01
2023;9;02;1528.785137751303;2023-09-01
2023;9;03;1413.7229032258065;2023-09-01
2023;9;04;2693.1055471698114;2023-09-01
2023;9;05;3185.2483333333334;2023-09-01
2023;9;06;6371.072429252782;2023-09-01
2023;9;07;2325.552901459854;2023-09-01
2023;9;08;1304.74;2023-09-01
2023;9;09;1723.9141666666667;2023-09-01
2023;9;10;1788.934;2023-09-01
2023;9;11;2341.8592603266093;2023-09-01
2023;9;12;1779.072547169811;2023-09-01
2023;9;13;4479.956055312955;2023-09-01
2023;9;14;3418.8882194934763;2023-09-01
2023;9;15;1488.6123711340206;2023-09-01
2023;9;16;1588.6331952662722;2023-09-01
2023;9;17;3646.387762119504;2023-09-01
2023;9;18;1371.9669553805775;2023-09-01
2023;9;19;1738.4171264367817;2023-09-01
2023;9;20;4839.571215469613;2023-09-01
2023;9;21;2618.91525;2023-09-01
2023;9;22;2739.014867647059;2023-09-01
2023;9;23;1012.3562275449101;2023-09-01
2023;9;24;1905.7001997649825;2023-09-01
2023;9;25;2238.9824680851066;2023-09-01
2023;9;26;2566.1299342969774;2023-09-01
2023;9;27;2166.4851828724354;2023-09-01
2023;9;28;2203.8442701149424;2023-09-01
2023;9;29;2813.637459605027;2023-09-01
2023;9;30;3028.7106859320415;2023-09-01
2023;9;31;3291.1101521216974;2023-09-01
2023;9;32;1825.144972972973;2023-09-01
2023;9;33;4050.830555709151;2023-09-01
2023;9;34;3923.549226804124;2023-09-01
2023;9;35;3521.912205169628;2023-09-01
2023;9;36;1293.43932735426;2023-09-01
2023;9;37;2641.3823076923077;2023-09-01
2023;9;38;3017.773806172171;2023-09-01
2023;9;39;1758.2158579881657;2023-09-01
2023;9;40;3792.850360360361;2023-09-01
2023;9;41;1917.6000403768508;2023-09-01
2023;9;42;1874.9468742514969;2023-09-01
2023;9;43;1625.5228947368423;2023-09-01
2023;9;44;3721.781685682738;2023-09-01
2023;9;45;2176.411111111111;2023-09-01
2023;9;46;1836.4579245283019;2023-09-01
2023;9;47;1729.1096159754227;2023-09-01
2023;9;48;1748.4205555555554;2023-09-01
2023;9;49;2590.6109261083743;2023-09-01
2023;9;50;2327.3116240601503;2023-09-01
2023;9;51;2413.998795180723;2023-09-01
2023;9;52;1068.8313513513515;2023-09-01
2023;9;53;1776.7231847133758;2023-09-01
2023;9;54;2121.9298167539264;2023-09-01
2023;9;55;1116.8264285714286;2023-09-01
2023;9;56;3485.9210479041913;2023-09-01
2023;9;57;2293.0439178356714;2023-09-01
2023;9;58;1142.279619771863;2023-09-01
2023;9;59;2603.4464313507506;2023-09-01
2023;9;60;2542.731704885344;2023-09-01
2023;9;61;1641.58775;2023-09-01
2023;9;62;2443.3983034872763;2023-09-01
2023;9;63;2168.738139534884;2023-09-01
2023;9;64;4635.76022693997;2023-09-01
2023;9;65;1946.9697051597052;2023-09-01
2023;9;66;2957.1553685503686;2023-09-01
2023;9;67;3392.31848857645;2023-09-01
2023;9;68;2790.171321637427;2023-09-01
2023;9;69;4341.108994677706;2023-09-01
2023;9;70;1268.6422916666666;2023-09-01
2023;9;71;1773.1885053929122;2023-09-01
2023;9;72;1872.19609375;2023-09-01
2023;9;73;4146.799848066298;2023-09-01
2023;9;74;5151.872326343381;2023-09-01
2023;9;75;10821.700533136967;2023-09-01
2023;9;76;2563.520620155039;2023-09-01
2023;9;77;3312.7246846846847;2023-09-01
2023;9;78;4634.24226899384;2023-09-01
2023;9;79;1478.9395604395604;2023-09-01
2023;9;80;2094.9875087108016;2023-09-01
2023;9;81;2020.847831149927;2023-09-01
2023;9;82;2096.75398;2023-09-01
2023;9;83;4805.375303119482;2023-09-01
2023;9;84;3019.6634743474347;2023-09-01
2023;9;85;3010.9210101694916;2023-09-01
2023;9;86;1869.308733880422;2023-09-01
2023;9;87;1693.540847457627;2023-09-01
2023;9;88;1555.8008843537416;2023-09-01
2023;9;89;1777.0880641183724;2023-09-01
2023;9;90;1809.2089523809525;2023-09-01
2023;9;91;3551.9020325604342;2023-09-01
2023;9;92;7430.798644282547;2023-09-01
2023;9;93;4680.667515151515;2023-09-01
2023;9;94;5480.808946877913;2023-09-01
2023;9;95;3800.2907974756167;2023-09-01
2023;9;97;3578.5230253623185;2023-09-01
2023;9;na;3558.7673661297345;2023-09-01
